,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,URL
0,hobart,au,-47.187708567175015,150.18967279467194,57.2,67,90,8.05,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=hobart,au"
2,cartagena del chaira,co,0.6796193473819727,-73.51575939348857,72.97,99,92,2.93,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=cartagena del chaira,co"
3,manuk mangkaw,ph,3.451854798439655,121.04050158587381,83.01,100,76,9.75,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=manuk mangkaw,ph"
4,cabo san lucas,mx,7.892950817967389,-120.94567844154255,68,72,5,11.41,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=cabo san lucas,mx"
5,hermanus,za,-89.43042695173885,-3.871148232809162,77.11,29,8,9.31,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=hermanus,za"
6,bethel,us,40.76109578069,-172.35785614440533,33.8,74,90,10.29,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=bethel,us"
7,duki,pk,30.261890523337755,68.5443140797667,68.43,15,0,4.72,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=duki,pk"
8,malpura,in,26.354655292752412,75.55619544568378,79.05,25,0,5.95,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=malpura,in"
9,cayenne,gf,7.044268097556113,-50.99244582530005,84.2,70,75,11.41,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=cayenne,gf"
11,punta arenas,cl,-73.9060777192738,-88.6020613850058,45.43,52,75,17.22,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=punta arenas,cl"
12,busselton,au,-64.13805365234731,96.11595094910791,62.98,100,44,9.64,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=busselton,au"
13,markova,ru,57.58885349955676,106.60419068515455,26.6,73,0,2.24,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=markova,ru"
16,fort nelson,ca,62.95439768804002,-122.88250197417389,6.8,84,90,2.24,"http://api.openweathermap.org/data/2.5/weather?units=Imperial&appid=d34fa5a7d433958415800836ac56356c&q=fort nelson,ca"
